3,,,,,,,,,,,,,,,,Stream #1,,,,,,,,,,,Stream #2,,,,,,,Stream #3,,,,,,
Photonum,SortChem,Old Micronum,Site Name,Date,Sample_Collection_Time_hr,H2O2_start_time_hr,Sample_Depth_m,Water_Depth_m,Water_type,Cond_(uS/cm),pH,Water_cdtns,Wind_speed_kts,Sky_cdtns,NOTES:,C-SCG,C-FISH,C-NA,100-TEM,100-LTR,53-TEM,53-LTR,3-NA,0.22-NA,V-SYBR,V-Cult,Abs/EEM,DOC,BacResp,BacProd,H2O2 snapshot,H2O2 whole,H2O2 filtered,100 µm - EtOH,100 µm - Gly,20 µm - EtOH,20 µm - Gly,.8 µm - EtOH,.8 µm - Gly,.45 µm - virus
E140106,E2014-0078,E2014-0072,WLE12,2-Sep-14,11:30 AM,11:45 AM,DepthINT,5.8,LA,,8.901,M,10 - 15,O,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140107,E2014-0079,E2014-0073,WLE13,2-Sep-14,12:00 PM,12:15 PM,0.1,8.0,LA,,8.707,R,10 - 15,L,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140108,E2014-0080,E2014-0074,WLE4,2-Sep-14,12:50 PM,1:05 PM,DepthINT,7.8,LA,,8.631,R,10 - 15,R,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140109,E2014-0081,E2014-0075,WLE8,2-Sep-14,1:20 PM,1:40 PM,0.1,4.4,LA,,8.720,M,10.0,R,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140116,E2014-0082,E2014-0076,WLE2,8-Sep-14,10:00 AM,10:20 AM,DepthINT,4.8,LA,,8.860,C,5 - 10,N,sortchems 0070 to 0105 were initially labeled differently in stream 1 (and 3?),X,X,X,X,X,X,X,X,X,X,X,x,x,X,X,X,X,X,X,X,X,X,X,X,X
E140117,E2014-0083,E2014-0077,WLE6,8-Sep-14,10:35 AM,10:50 AM,0.1,2.4,LA,,9.213,C,5 - 10,N,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140118,E2014-0084,E2014-0078,WLE12,8-Sep-14,11:15 AM,11:40 AM,DepthINT,6.0,LA,,8.770,M,10.0,N,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140119,E2014-0085,E2014-0079,WLE13,8-Sep-14,11:50 AM,12:15 PM,0.1,8.0,LA,,8.790,M,10 - 15,N,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140120,E2014-0086,E2014-0080,WLE4,8-Sep-14,12:35 PM,12:35 PM,DepthINT,7.8,LA,,8.864,M,10.0,N,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140121,E2014-0087,E2014-0081,WLE8,8-Sep-14,1:15 PM,1:40 PM,0.1,4,LA,,9.100,M,10 - 15,N,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140139,E2014-0088,E2014-0082,WLE2,15-Sep-14,10:00 AM,10:15 AM,DepthINT,5.2,LA,,8.288,C,10.0,L,sortchems 0070 to 0105 were initially labeled differently in stream 1 (and 3?),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140140,E2014-0089,E2014-0083,WLE6,15-Sep-14,10:20 AM,10:35 AM,0.1,2.1,LA,,7.908,C,10.0,O,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
E140141,E2014-0090,E2014-0084,WLE12,15-Sep-14,11:25 AM,11:40 AM,DepthINT,5.8,LA,,8.505,C,10.0,R,sprinkling,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
E140142,E2014-0091,E2014-0085,WLE13,15-Sep-14,11:50 AM,12:05 PM,0.1,8.1,LA,,8.488,C,10.0,O,,,,X,,,,,,,,,X,X,,,X,X,X,,,,,,,
